Polymorphism name;Number of occurrences
homozygous_CYP2B6_star_8;0
homozygous_CYP2B6_star_9;0
BRCA1_1_hash;231
homozygous_CYP2B6_star_3;0
CYP2C19_star_3B;231
CYP3A4_star_6;231
homozygous_CYP1A2_star_1J;231
homozygous_CYP1A2_star_1K;231
CYP2C19_star_3A;231
homozygous_CYP3A4_star_6;0
homozygous_CYP1A2_star_20;231
homozygous_CYP1A2_star_21;231
CYP2A6_star_18C;231
CYP2A6_star_18B;231
G6PD_haplotype_A-_202A__376G;231
homozygous_CYP1A2_star_1A;0
CYP2A6_star_18A;231
homozygous_CYP1A2_star_1E;0
homozygous_CYP2A6_star_1B13;231
homozygous_CYP2A6_star_1B12;231
homozygous_CYP1A2_star_1C;231
homozygous_CYP2A6_star_1B11;231
homozygous_CYP1A2_star_1B;0
homozygous_CYP2A6_star_1B10;231
homozygous_CYP1A2_star_1H;231
homozygous_CYP1A2_star_1G;231
homozygous_CYP1A2_star_1F;0
CYP2C19_star_4B;231
G6PD_haplotype_A-_968C__376G;231
CYP2C19_star_4A;231
homozygous_CYP1A2_star_10;0
homozygous_CYP1A2_star_11;0
homozygous_CYP1A2_star_14;0
homozygous_CYP1A2_star_15;231
homozygous_CYP1A2_star_12;231
homozygous_CYP1A2_star_13;0
homozygous_BRCA1_10;231
homozygous_CYP1A2_star_18;231
homozygous_CYP1A2_star_19;231
homozygous_CYP1A2_star_16;231
homozygous_CYP1A2_star_17;231
homozygous_TPMT_star_5;231
CYP2B6_star_10;231
homozygous_TPMT_star_4;0
CYP2B6_star_12;310
homozygous_TPMT_star_2;0
homozygous_TPMT_star_9;231
CYP2B6_star_14;231
homozygous_TPMT_star_8;231
homozygous_TPMT_star_7;231
CYP2B6_star_16;231
homozygous_TPMT_star_6;231
homozygous_CYP2A6_star_1B14;231
homozygous_CYP2A6_star_1B15;231
homozygous_CYP2A6_star_1B16;231
BRCA1_4_hash;231
homozygous_CYP2A6_star_1B17;231
CYP2C19_star_5A;231
CYP2C19_star_5B;231
homozygous_TPMT_star_1;0
homozygous_CYP2C19_star_19;231
homozygous_COMT_Haplotype_intermediate_activity;231
homozygous_CYP2C19_star_12;0
CYP1A2_star_5;231
homozygous_CYP2C19_star_11;0
CYP1A2_star_4;231
homozygous_CYP2C19_star_14;0
CYP1A2_star_3;231
homozygous_CYP2C19_star_13;0
CYP1A2_star_2;231
homozygous_ADRB1_H1;0
homozygous_BRCA1_2_hash;231
homozygous_CYP2C19_star_16;231
homozygous_ADRB1_H2;231
homozygous_CYP2C19_star_15;0
homozygous_ADRB1_H3;231
homozygous_CYP2C19_star_18;231
homozygous_CYP2C19_star_17;0
homozygous_BRCA1_3_hash;231
homozygous_CYP2C19_star_10;0
CYP1A2_star_7;231
CYP1A2_star_6;231
homozygous_CYP2C9_star_30;231
CYP1A2_star_9;231
homozygous_CYP2C9_star_31;231
CYP1A2_star_8;231
homozygous_CYP2C9_star_32;231
homozygous_CYP2C9_star_33;0
homozygous_CYP2C9_star_34;0
homozygous_TPMT_star_24_PMID__18602085_;231
homozygous_VKORC1_H9;231
homozygous_VKORC1_H8;231
homozygous_VKORC1_H3;0
homozygous_VKORC1_H2;231
CYP2A6_star_9A;232
homozygous_VKORC1_H1;231
homozygous_VKORC1_H7;231
homozygous_VKORC1_H6;0
homozygous_VKORC1_H5;231
CYP2A6_star_9B;231
homozygous_VKORC1_H4;0
homozygous_CYP2C9_star_4;231
homozygous_CYP2C9_star_3;0
homozygous_CYP2C9_star_2;0
homozygous_CYP2C9_star_1;0
homozygous_CYP2C9_star_9;0
homozygous_CYP2C9_star_8;0
homozygous_CYP2C9_star_7;0
homozygous_CYP2C9_star_5;0
homozygous_CYP2C9_star_19;231
homozygous_CYP2C9_star_18;231
homozygous_CYP2C9_star_15;0
homozygous_CYP2C9_star_14;0
homozygous_CYP2C9_star_17;231
homozygous_CYP2C9_star_16;0
BRCA1_2_hash;231
UGT1A1_star_VIII;231
ABCB1_star_13__per_Kroetz_et_al._2003__PMID__12893986__;231
homozygous_TPMT_star_20_PMID_16917910_;231
homozygous_CYP2C9_star_10;0
homozygous_CYP2C9_star_11;0
homozygous_CYP2C9_star_12;0
homozygous_CYP2C9_star_13;0
CYP2C9_star_3;244
CYP2C9_star_2;256
CYP2C9_star_1;269
homozygous_CYP2C9_star_29;231
homozygous_CYP2C9_star_28;231
homozygous_CYP2C9_star_27;231
homozygous_CYP2C9_star_26;231
homozygous_G6PD_haplotype_B__wildtype_;231
CYP2C9_star_9;231
CYP2C9_star_8;233
CYP2C9_star_7;231
CYP2C9_star_5;231
CYP2C9_star_4;231
homozygous_COMT_Haplotype_high_activity;0
homozygous_CYP2C9_star_23;231
homozygous_CYP2C9_star_21;231
homozygous_CYP2C9_star_22;231
homozygous_CYP2C9_star_20;231
CYP2B6_star_6B;231
CYP2B6_star_6C;231
CYP2B6_star_6A;231
BRCA1_10;231
homozygous_CYP2D6_star_29;231
TPMT_star_20_PMID_16917910_;231
TPMT_star_24_PMID__18708949_;231
CYP2B6_star_5C;231
CYP2B6_star_5A;231
CYP2B6_star_5B;231
CYP2C19_star_9;231
VKORC1_H9;231
VKORC1_H7;231
VKORC1_H8;231
VKORC1_H5;231
VKORC1_H6;231
VKORC1_H3;231
CYP2C19_star_2;267
VKORC1_H4;231
homozygous_CYP2D6_star_1;0
CYP2C19_star_7;231
VKORC1_H1;231
homozygous_CYP2D6_star_2;0
CYP2C19_star_8;231
VKORC1_H2;231
homozygous_CYP2D6_star_4;231
CYP2C19_star_6;231
homozygous_CYP2D6_star_17;231
homozygous_CYP2D6_star_10;231
CYP2A6_star_1B9;231
CYP2A6_star_1B8;231
CYP2A6_star_1B7;231
CYP2A6_star_1B6;231
CYP2A6_star_1B5;231
CYP2A6_star_1B4;231
CYP2A6_star_1B3;231
TPMT_star_24_PMID__18602085_;231
CYP2A6_star_1B2;231
CYP2A6_star_1B1;231
homozygous_UGT1A1_star_VIII;231
CYP2B6_star_7A;231
CYP2B6_star_7B;231
TPMT_star_20_PMID_16946561_;231
homozygous_BRCA1_5_hash;0
CYP2B6_star_29;231
CYP2B6_star_28;231
CYP2B6_star_2B;231
CYP2B6_star_2A;238
CYP2B6_star_18;231
homozygous_BRCA1_4_hash;231
CYP2B6_star_19;231
homozygous_CYP2B6_star_14;231
CYP2B6_star_1D;231
CYP2B6_star_1C;231
homozygous_CYP2B6_star_12;0
CYP2B6_star_1F;231
CYP2B6_star_1E;231
homozygous_CYP2B6_star_10;231
CYP2B6_star_1B;231
CYP2B6_star_1A;231
CYP2B6_star_1K;231
CYP2B6_star_1L;231
CYP2B6_star_1M;231
CYP2B6_star_1N;231
homozygous_CYP2B6_star_19;231
CYP2B6_star_1G;231
homozygous_CYP2B6_star_18;231
CYP2B6_star_1H;231
homozygous_CYP2B6_star_16;231
CYP2B6_star_1J;231
homozygous_CYP2B6_star_1E;231
CYP2B6_star_24;231
homozygous_CYP2B6_star_1D;231
CYP2B6_star_25;231
homozygous_CYP2B6_star_1C;231
CYP2B6_star_26;231
